date,consumer_credit_outstanding,charge_off_rate,consumer_loans_delinquency_rate,household_debt_service_ratio,total_bank_credit
1/31/1943,6577830000,,,,
2/28/1943,6463040000,,,,
3/31/1943,6234210000,,,,
4/30/1943,6125750000,,,,
5/31/1943,5936260000,,,,
6/30/1943,5822230000,,,,
7/31/1943,5718370000,,,,
8/31/1943,5638750000,,,,
9/30/1943,5647590000,,,,
10/31/1943,5650740000,,,,
11/30/1943,5576870000,,,,
12/31/1943,5462520000,,,,
1/31/1944,5398570000,,,,
2/29/1944,5354360000,,,,
3/31/1944,5370360000,,,,
4/30/1944,5379180000,,,,
5/31/1944,5430500000,,,,
6/30/1944,5467790000,,,,
7/31/1944,5498200000,,,,
8/31/1944,5533960000,,,,
9/30/1944,5549230000,,,,
10/31/1944,5565930000,,,,
11/30/1944,5570100000,,,,
12/31/1944,5585690000,,,,
1/31/1945,5602730000,,,,
2/28/1945,5573810000,,,,
3/31/1945,5667690000,,,,
4/30/1945,5582450000,,,,
5/31/1945,5605250000,,,,
6/30/1945,5704450000,,,,
7/31/1945,5748780000,,,,
8/31/1945,5767010000,,,,
9/30/1945,5758270000,,,,
10/31/1945,5932020000,,,,
11/30/1945,6095550000,,,,
12/31/1945,6567050000,,,,
1/31/1946,6504510000,,,,
2/28/1946,6765950000,,,,
3/31/1946,7005450000,,,,
4/30/1946,7333220000,,,,
5/31/1946,7532370000,,,,
6/30/1946,7702210000,,,,
7/31/1946,7933640000,,,,
8/31/1946,8345160000,,,,
9/30/1946,8599600000,,,,
10/31/1946,8895140000,,,,
11/30/1946,9218280000,,,,
12/31/1946,9444390000,,,,
1/31/1947,9770200000,,,,1.09117E+11
2/28/1947,10089000000,,,,1.0853E+11
3/31/1947,10345850000,,,,1.08371E+11
4/30/1947,10645940000,,,,1.08561E+11
5/31/1947,10926310000,,,,1.08539E+11
6/30/1947,11135650000,,,,1.08459E+11
7/31/1947,11364120000,,,,1.08748E+11
8/31/1947,11582880000,,,,1.09045E+11
9/30/1947,11860300000,,,,1.09922E+11
10/31/1947,12205130000,,,,1.10376E+11
11/30/1947,12534870000,,,,1.10433E+11
12/31/1947,12855620000,,,,1.10297E+11
1/31/1948,13228610000,,,,1.10595E+11
2/29/1948,13524280000,,,,1.10076E+11
3/31/1948,13921240000,,,,1.08885E+11
4/30/1948,14264070000,,,,1.09168E+11
5/31/1948,14500280000,,,,1.09613E+11
6/30/1948,14775270000,,,,1.09296E+11
7/31/1948,15041570000,,,,1.09745E+11
8/31/1948,15229700000,,,,1.10008E+11
9/30/1948,15515140000,,,,1.08562E+11
10/31/1948,15579620000,,,,1.08424E+11
11/30/1948,15603370000,,,,1.08453E+11
12/31/1948,15803230000,,,,1.0843E+11
1/31/1949,15901700000,,,,1.08764E+11
2/28/1949,16009260000,,,,1.08448E+11
3/31/1949,16092980000,,,,1.07602E+11
4/30/1949,16413200000,,,,1.07995E+11
5/31/1949,16638100000,,,,1.09283E+11
6/30/1949,16860930000,,,,1.09561E+11
7/31/1949,17061100000,,,,1.10928E+11
8/31/1949,17355490000,,,,1.13146E+11
9/30/1949,17695160000,,,,1.14198E+11
10/31/1949,18021320000,,,,1.14923E+11
11/30/1949,18435990000,,,,1.14887E+11
12/31/1949,18772210000,,,,1.15021E+11
1/31/1950,19050870000,,,,1.16111E+11
2/28/1950,19371630000,,,,1.16196E+11
3/31/1950,19734830000,,,,1.15957E+11
4/30/1950,20148380000,,,,1.16124E+11
5/31/1950,20621680000,,,,1.16872E+11
6/30/1950,21118840000,,,,1.17488E+11
7/31/1950,22086290000,,,,1.17714E+11
8/31/1950,22728260000,,,,1.18216E+11
9/30/1950,23171570000,,,,1.18093E+11
10/31/1950,23242150000,,,,1.18483E+11
11/30/1950,23258560000,,,,1.18896E+11
12/31/1950,23229160000,,,,1.19906E+11
1/31/1951,23797600000,,,,1.19475E+11
2/28/1951,24109420000,,,,1.18762E+11
3/31/1951,24280960000,,,,1.18911E+11
4/30/1951,24076150000,,,,1.19231E+11
5/31/1951,23994880000,,,,1.19437E+11
6/30/1951,23841030000,,,,1.20314E+11
7/31/1951,23706570000,,,,1.21078E+11
8/31/1951,23940110000,,,,1.21712E+11
9/30/1951,24098290000,,,,1.2264E+11
10/31/1951,24288010000,,,,1.2388E+11
11/30/1951,24639740000,,,,1.2516E+11
12/31/1951,24627950000,,,,1.26023E+11
1/31/1952,24801920000,,,,1.26712E+11
2/29/1952,25151920000,,,,1.26829E+11
3/31/1952,25195580000,,,,1.26851E+11
4/30/1952,25548050000,,,,1.26881E+11
5/31/1952,26146470000,,,,1.27478E+11
6/30/1952,26762430000,,,,1.28957E+11
7/31/1952,27210190000,,,,1.30772E+11
8/31/1952,27468780000,,,,1.31313E+11
9/30/1952,27869820000,,,,1.31167E+11
10/31/1952,28496560000,,,,1.32688E+11
11/30/1952,29049110000,,,,1.34794E+11
12/31/1952,29685580000,,,,1.34976E+11
1/31/1953,30479450000,,,,1.34766E+11
2/28/1953,30886610000,,,,1.34273E+11
3/31/1953,31639330000,,,,1.33609E+11
4/30/1953,32117350000,,,,1.32711E+11
5/31/1953,32431820000,,,,1.32125E+11
6/30/1953,32501580000,,,,1.32354E+11
7/31/1953,32792300000,,,,1.35811E+11
8/31/1953,33060610000,,,,1.37344E+11
9/30/1953,33255740000,,,,1.37204E+11
10/31/1953,33482280000,,,,1.37315E+11
11/30/1953,33558310000,,,,1.3849E+11
12/31/1953,33696920000,,,,1.39025E+11
1/31/1954,34064900000,,,,1.39103E+11
2/28/1954,33701350000,,,,1.38177E+11
3/31/1954,33507660000,,,,1.3683E+11
4/30/1954,33706500000,,,,1.36991E+11
5/31/1954,33704800000,,,,1.38204E+11
6/30/1954,33815390000,,,,1.39106E+11
7/31/1954,34057200000,,,,1.40006E+11
