date,usd_fx_index,aud_usd,eur_usd,gbp_usd,cad_usd,cny_usd,jpy_usd,chf_usd
1/31/1971,,1.1181,,0.024058,1.0118,,358.02,4.3053
2/28/1971,,1.1238,,0.024178,1.0075,,357.545,4.2981
3/31/1971,,1.1243,,0.024187,1.0064,,357.5187,4.3003
4/30/1971,,1.1238,,0.024179,1.0077,,357.5032,4.2987
5/31/1971,,1.1243,,0.024187,1.0087,,357.413,4.1242
6/30/1971,,1.1243,,0.024188,1.0213,,357.4118,4.0938
7/31/1971,,1.1241,,0.024185,1.0213,,357.4043,4.0946
8/31/1971,,1.1316,,0.024346,1.013,,355.78,4.0306
9/30/1971,,1.1478,,0.024694,1.013,,338.021,3.9812
10/31/1971,,1.1577,,0.024896,1.0047,,331.1105,3.975
11/30/1971,,1.1589,,0.024933,1.0039,,328.752,3.9834
12/31/1971,,1.1748,,0.025266,0.9993,,320.0727,3.9041
1/31/1972,,1.191,,0.025705,1.0059,,312.72,3.8922
2/29/1972,,1.191,,0.026037,1.0047,,305.187,3.8611
3/31/1972,,1.191,,0.026181,0.9985,,302.5365,3.8567
4/30/1972,,1.191,,0.026102,0.9957,,303.5605,3.8509
5/31/1972,,1.191,,0.026124,0.9889,,304.3795,3.8605
6/30/1972,,1.191,,0.025691,0.9795,,302.4145,3.7998
7/31/1972,,1.191,,0.024447,0.984,,301.0305,3.765
8/31/1972,,1.1911,,0.024502,0.9824,,301.1609,3.7808
9/30/1972,,1.191,,0.02441,0.983,,301.119,3.7874
10/31/1972,,1.1907,,0.023948,0.9827,,301.011,3.7977
11/30/1972,,1.1909,,0.023515,0.9874,,300.9885,3.7956
12/31/1972,,1.2074,,0.023449,0.9968,,301.2405,3.77
1/31/1973,,1.2716,,0.023563,0.9993,,301.7882,3.7293
2/28/1973,,1.3546,,0.024272,0.9956,,278.4206,3.417
3/31/1973,,1.4129,,0.024724,0.9967,,261.9014,3.2171
4/30/1973,,1.415,,0.024837,1.0007,,265.4914,3.2406
5/31/1973,,1.415,,0.025306,1.0008,,264.6505,3.1728
6/30/1973,,1.4158,,0.025762,0.9984,,264.4981,3.0532
7/31/1973,,1.4178,,0.025375,0.9995,,264.5538,2.8233
8/31/1973,,1.4148,,0.024757,1.0039,,265.22,2.9733
9/30/1973,,1.4683,,0.024183,1.0083,,265.4747,3.017
10/31/1973,,1.4823,,0.024292,1.0011,,266.3348,3.0288
11/30/1973,,1.4822,,0.02387,0.9991,,278.2625,3.1647
12/31/1973,,1.4833,,0.023174,0.9994,,280.1775,3.2
1/31/1974,,1.4823,,0.02224,0.9915,,298.1336,3.3644
2/28/1974,,1.485,,0.022749,0.9766,,291.0872,3.1763
3/31/1974,,1.4855,,0.023406,0.972,,282.1648,3.0788
4/30/1974,,1.4841,,0.023886,0.9676,,277.7741,3.027
5/31/1974,,1.4844,,0.024137,0.9623,,278.9664,2.9173
6/30/1974,,1.4834,,0.023902,0.9664,,282.97,2.9899
7/31/1974,,1.4799,,0.023896,0.9763,,290.98,2.9642
8/31/1974,,1.4824,,0.023456,0.9799,,302.2836,2.9846
9/30/1974,,1.4487,,0.023165,0.9864,,299.084,2.9967
10/31/1974,,1.3093,,0.02333,0.983,,299.3645,2.8966
11/30/1974,,1.311,,0.023252,0.9874,,300.075,2.7503
12/31/1974,,1.3172,,0.023294,0.9882,,300.4114,2.6028
1/31/1975,,1.3295,,0.023623,0.9948,,299.6845,2.5278
2/28/1975,,1.348,,0.023958,1.0004,,291.6583,2.4731
3/31/1975,,1.3585,,0.02418,1.0005,,287.9486,2.4835
4/30/1975,,1.3416,,0.023707,1.011,,292.1968,2.5589
5/31/1975,,1.3404,,0.023205,1.0286,,291.4305,2.5096
6/30/1975,,1.3355,,0.022803,1.0264,,293.4662,2.4946
7/31/1975,,1.3095,,0.021845,1.0309,,296.3741,2.6142
8/31/1975,,1.2815,,0.021143,1.0354,,297.9762,2.6787
9/30/1975,,1.2687,,0.020834,1.0263,,299.909,2.7099
10/31/1975,,1.2626,,0.020568,1.0251,,302.3364,2.6631
11/30/1975,,1.2626,,0.020484,1.0139,,302.5453,2.6538
12/31/1975,,1.2538,,0.020221,1.0139,,305.67,2.6337
1/31/1976,,1.2565,,0.020286,1.0065,,304.6357,2.603
2/29/1976,,1.2585,,0.020262,0.9935,,301.5944,2.57
