date,real_estate_credit,housing_price_index,prime_rate,housing_inventory,mortgage_rates_avg,homes_sold
1/31/1947,6796000000,,,,,
2/28/1947,6955100000,,,,,
3/31/1947,7124900000,,,,,
4/30/1947,7296600000,,,,,
5/31/1947,7469900000,,,,,
6/30/1947,7636100000,,,,,
7/31/1947,7809200000,,,,,
8/31/1947,7980900000,,,,,
9/30/1947,8148700000,,,,,
10/31/1947,8317400000,,,,,
11/30/1947,8484500000,,,,,
12/31/1947,8642800000,,,,,
1/31/1948,8819400000,,,,,
2/29/1948,8951800000,,,,,
3/31/1948,9094600000,,,,,
4/30/1948,9238200000,,,,,
5/31/1948,9378200000,,,,,
6/30/1948,9513200000,,,,,
7/31/1948,9626300000,,,,,
8/31/1948,9714100000,,,,,
9/30/1948,9802200000,,,,,
10/31/1948,9889500000,,,,,
11/30/1948,9975000000,,,,,
12/31/1948,10054600000,,,,,
1/31/1949,10141500000,,,,,
2/28/1949,10185500000,,,,,
3/31/1949,10236800000,,,,,
4/30/1949,10283800000,,,,,
5/31/1949,10328500000,,,,,
6/30/1949,10367300000,,,,,
7/31/1949,10428400000,,,,,
8/31/1949,10493300000,,,,,
9/30/1949,10557300000,,,,,
10/31/1949,10621300000,,,,,
11/30/1949,10684100000,,,,,
12/31/1949,10745200000,,,,,
1/31/1950,10882000000,,,,,
2/28/1950,11030100000,,,,,
3/31/1950,11181900000,,,,,
4/30/1950,11329400000,,,,,
5/31/1950,11472100000,,,,,
6/30/1950,11607600000,,,,,
7/31/1950,11770200000,,,,,
8/31/1950,11946100000,,,,,
9/30/1950,12114500000,,,,,
10/31/1950,12283600000,,,,,
11/30/1950,12454400000,,,,,
12/31/1950,12621900000,,,,,
1/31/1951,12779100000,,,,,
2/28/1951,12893000000,,,,,
3/31/1951,13007800000,,,,,
4/30/1951,13107700000,,,,,
5/31/1951,13203500000,,,,,
6/30/1951,13282600000,,,,,
7/31/1951,13371700000,,,,,
8/31/1951,13466100000,,,,,
9/30/1951,13546400000,,,,,
10/31/1951,13635100000,,,,,
11/30/1951,13726200000,,,,,
12/31/1951,13774400000,,,,,
1/31/1952,13652200000,,,,,
2/29/1952,13692000000,,,,,
3/31/1952,13783800000,,,,,
4/30/1952,13890400000,,,,,
5/31/1952,13990900000,,,,,
6/30/1952,14133500000,,,,,
7/31/1952,14186200000,,,,,
