date,sp500_index_real,sp500_index_nominal,djia_index_real,djia_index_nominal,nasdaq100_index_avg
12/31/1927,325.72,17.66,3701.71,200.7,
1/31/1928,324.06,17.57,3662.79,198.59,
2/29/1928,322.07,17.26,3634.59,194.78,
3/31/1928,359.76,19.28,4001.64,214.45,
4/30/1928,368.54,19.75,3949.02,211.63,
5/31/1928,371.02,20,4077.7,219.81,
6/30/1928,357.15,19.14,3925.5,210.37,
7/31/1928,362.56,19.43,4030.56,216,
8/31/1928,389.43,20.87,4486.05,240.41,
9/30/1928,389.91,21.14,4378.24,237.38,
10/31/1928,402.19,21.68,4677.82,252.16,
11/30/1928,450.42,24.28,5442.49,293.38,
12/31/1928,454.37,24.35,5598,300,
1/31/1929,480.31,25.74,5924.74,317.51,
2/28/1929,477.51,25.59,5922.87,317.41,
3/31/1929,479.2,25.53,5797.11,308.85,
4/30/1929,489.77,25.94,6028.51,319.29,
5/31/1929,466.06,24.83,5582.39,297.41,
6/30/1929,511.47,27.41,6228.52,333.79,
7/31/1929,532.66,28.88,6412.98,347.7,
8/31/1929,584.86,31.71,7014.81,380.33,
9/30/1929,556.27,30.16,6334.59,343.45,
10/31/1929,445.42,24.15,5044.62,273.51,
11/30/1929,385.85,20.92,4407.19,238.95,
12/31/1929,397.92,21.45,4609.55,248.48,
1/31/1930,425.26,22.79,4984.83,267.14,
2/28/1930,436.97,23.28,5088.73,271.11,
3/31/1930,455.98,24.15,5401.85,286.1,
4/30/1930,467.37,24.9,5241.15,279.23,
5/31/1930,462.4,24.49,5193.6,275.07,
6/30/1930,388.6,20.46,4298.88,226.34,
7/31/1930,407.7,21.21,4497.76,233.99,
8/31/1930,413.25,21.37,4649.24,240.42,
9/30/1930,357.34,18.59,3938.59,204.9,
10/31/1930,327.59,16.94,3545.62,183.35,
11/30/1930,322.39,16.57,3568.04,183.39,
12/31/1930,304.02,15.34,3261.81,164.58,
1/31/1931,322.89,16.09,3362.39,167.55,
2/28/1931,364.41,17.93,3854.65,189.66,
3/31/1931,341.38,16.69,3525.45,172.36,
4/30/1931,310.64,15.09,3112.4,151.19,
5/31/1931,271.53,13.02,2679.03,128.46,
6/30/1931,313.37,14.83,3173.45,150.18,
7/31/1931,290.13,13.73,2860.93,135.39,
8/31/1931,292.88,13.86,2945.87,139.41,
9/30/1931,206.55,9.71,2055.09,96.61,
10/31/1931,225.5,10.53,2257.78,105.43,
11/30/1931,206.21,9.5,2037.54,93.87,
12/31/1931,177.46,8.12,1702.5,77.9,
1/31/1932,176.05,7.89,1700.03,76.19,
2/29/1932,187.6,8.29,1842.99,81.44,
3/31/1932,166.61,7.31,1670.2,73.28,
4/30/1932,133.83,5.83,1288.06,56.11,
5/31/1932,104.11,4.47,1042.04,44.74,
6/30/1932,103.94,4.43,1005.11,42.84,
7/31/1932,143.12,6.1,1273.05,54.26,
8/31/1932,198.31,8.39,1729.21,73.16,
9/30/1932,192.4,8.08,1703.99,71.56,
10/31/1932,166.98,6.96,1485.04,61.9,
11/30/1932,158.33,6.55,1362.15,56.35,
12/31/1932,167.82,6.89,1459.72,59.93,
1/31/1933,171.66,6.94,1506.36,60.9,
2/28/1933,142.21,5.66,1291.17,51.39,
3/31/1933,148.15,5.85,1402.95,55.4,
4/30/1933,210.7,8.32,1966.66,77.66,
5/31/1933,244.12,9.64,2231.3,88.11,
6/30/1933,274.11,10.91,2465.77,98.14,
7/31/1933,242.35,9.95,2210.88,90.77,
8/31/1933,268.08,11.09,2475.56,102.41,
9/30/1933,237.62,9.83,2292.08,94.82,
10/31/1933,216.59,8.96,2131.09,88.16,
11/30/1933,238.83,9.88,2372.34,98.14,
12/31/1933,244.15,10.1,2414.88,99.9,
1/31/1934,270.01,11.17,2591.83,107.22,
2/28/1934,258.14,10.76,2482.11,103.46,
3/31/1934,257.9,10.75,2443.48,101.85,
4/30/1934,250.95,10.46,2410.86,100.49,
5/31/1934,230.55,9.61,2255.15,94,
6/30/1934,233.6,9.81,2279.28,95.72,
7/31/1934,206.69,8.68,2096.65,88.05,
8/31/1934,217.88,9.15,2211.18,92.86,
9/30/1934,213.5,9.1,2173.29,92.63,
10/31/1934,208.23,8.81,2206.66,93.36,
11/30/1934,225.49,9.54,2433.09,102.94,
12/31/1934,226.21,9.5,2477.4,104.04,
1/31/1935,213.5,9.1,2385.85,101.69,
2/28/1935,203.56,8.74,2384.53,102.38,
3/31/1935,197.27,8.47,2347.97,100.81,
4/30/1935,214.57,9.28,2530.7,109.45,
5/31/1935,221.51,9.58,2558.22,110.64,
6/30/1935,238.27,10.23,2753.23,118.21,
7/31/1935,258.06,11.08,2940.02,126.23,
8/31/1935,263.65,11.32,2978.69,127.89,
9/30/1935,269.94,11.59,3072.55,131.92,
10/31/1935,290.21,12.46,3254.68,139.74,
11/30/1935,299.43,12.95,3291.42,142.35,
12/31/1935,310.53,13.43,3332.57,144.13,
1/31/1936,330.88,14.31,3456.51,149.49,
2/29/1936,336.43,14.55,3518.01,152.15,
3/31/1936,347.5,14.92,3641.31,156.34,
4/30/1936,320.72,13.77,3392.8,145.67,
5/31/1936,335.39,14.4,3555.14,152.64,
6/30/1936,343.13,14.84,3646.11,157.69,
7/31/1936,363.85,15.85,3784.53,164.86,
8/31/1936,364.44,15.99,3790.08,166.29,
9/30/1936,364.9,16.01,3824.95,167.82,
10/31/1936,392.25,17.21,4038.51,177.19,
11/30/1936,393.85,17.28,4175.95,183.22,
12/31/1936,391.57,17.18,4100.28,179.9,
1/31/1937,403.49,17.83,4203.3,185.74,
2/28/1937,409.38,18.09,4238.6,187.3,
3/31/1937,402.68,17.92,4188.82,186.41,
4/30/1937,366.6,16.43,3888.49,174.27,
5/31/1937,360.29,16.26,3871.22,174.71,
6/30/1937,341.23,15.4,3751.79,169.32,
7/31/1937,373.66,16.98,4084.53,185.61,
8/31/1937,352.98,16.04,3904.08,177.41,
9/30/1937,300.72,13.76,3378.13,154.57,
10/31/1937,270.13,12.36,3019.71,138.17,
11/30/1937,244.49,11.11,2717.3,123.48,
12/31/1937,233.77,10.55,2677.79,120.85,
1/31/1938,240.21,10.69,2738.54,121.87,
2/28/1938,256.62,11.34,2933.75,129.64,
3/31/1938,192.36,8.5,2239.24,98.95,
4/30/1938,217.97,9.7,2500.57,111.28,
5/31/1938,209.78,9.27,2438.16,107.74,
6/30/1938,261.6,11.56,3029.7,133.88,
7/31/1938,280.61,12.4,3196.49,141.25,
8/31/1938,272.92,12.06,3151.68,139.27,
9/30/1938,276.99,12.24,3201.01,141.45,
10/31/1938,300.17,13.17,3458.23,151.73,
11/30/1938,290.14,12.73,3414.7,149.82,
12/31/1938,301.08,13.21,3527.29,154.76,
1/31/1939,280.34,12.3,3276.58,143.76,
2/28/1939,291.54,12.7,3381.42,147.3,
3/31/1939,252.06,10.98,3026.52,131.84,
4/30/1939,252.49,10.92,2970.02,128.45,
5/31/1939,268.22,11.6,3195,138.18,
6/30/1939,251.1,10.86,3020.43,130.63,
7/31/1939,278.39,12.04,3312.46,143.26,
8/31/1939,258.5,11.18,3107.83,134.41,
9/30/1939,294.64,13.02,3451.98,152.54,
10/31/1939,292.42,12.83,3461.65,151.88,
11/30/1939,278.06,12.2,3320.57,145.69,
12/31/1939,284.67,12.49,3424.27,150.24,
1/31/1940,276.62,12.05,3336.2,145.33,
2/29/1940,276.47,12.13,3339.94,146.54,
3/31/1940,279.2,12.25,3372.08,147.95,
4/30/1940,277.83,12.19,3383.02,148.43,
5/31/1940,211.28,9.27,2648.89,116.22,
6/30/1940,225.85,9.98,2757.92,121.87,
7/31/1940,234.53,10.29,2874.98,126.14,
8/31/1940,240.68,10.56,2949.74,129.42,
9/30/1940,242.96,10.66,3023.13,132.64,
10/31/1940,252.54,11.08,3068.03,134.61,
11/30/1940,241.82,10.61,2985.75,131,
12/31/1940,239.43,10.58,2967.47,131.13,
1/31/1941,227.88,10.07,2809.06,124.13,
2/28/1941,224.49,9.92,2760.18,121.97,
3/31/1941,223.81,9.96,2757.64,122.72,
4/30/1941,207.73,9.31,2578.04,115.54,
5/31/1941,207.18,9.35,2565.01,115.76,
6/30/1941,213.8,9.85,2672.88,123.14,
7/31/1941,225.53,10.39,2795.52,128.79,
8/31/1941,220.57,10.3,2734.7,127.7,
9/30/1941,215.54,10.2,2679.83,126.82,
10/31/1941,198.12,9.5,2457.14,117.82,
11/30/1941,188.55,9.1,2366.85,114.23,
12/31/1941,178.89,8.69,2284.22,110.96,
1/31/1942,179.05,8.81,2217.55,109.11,
2/28/1942,173.48,8.59,2156.62,106.79,
3/31/1942,159.74,8.01,1984.93,99.53,
4/30/1942,151.81,7.66,1889.74,95.35,
5/31/1942,159.54,8.15,1974.83,100.88,
6/30/1942,162.48,8.3,2022.98,103.34,
7/31/1942,166.54,8.56,2056.89,105.72,
8/31/1942,166.69,8.62,2056.21,106.33,
9/30/1942,171.14,8.85,2109.97,109.11,
10/31/1942,179.99,9.42,2179.54,114.07,
11/30/1942,176.44,9.29,2174.7,114.5,
