date,vix_index_avg,business_sentiment,consumer_sentiment,google_inflation_trend,google_interest_rate_trend,google_mortgage_rate_trend,consumer_confidence_index
1/31/1990,23.347272727272728,98.83,93,,,,101.376
2/28/1990,23.262631578947367,99.04,89.5,,,,101.3088
3/31/1990,20.062272727272727,99.21,91.3,,,,101.2456
4/30/1990,21.4035,99.26,93.9,,,,101.2113
5/31/1990,18.097727272727276,99.18,90.6,,,,101.1244
6/30/1990,16.82238095238095,98.99,88.3,,,,100.998
7/31/1990,18.392857142857142,98.68,88.2,,,,100.7749
8/31/1990,28.175217391304347,98.38,76.4,,,,100.375
9/30/1990,29.10736842105263,98.06,72.8,,,,99.93839
10/31/1990,29.625652173913043,97.73,63.9,,,,99.65288
11/30/1990,24.88571428571429,97.41,66,,,,99.58417
12/31/1990,23.363,97.15,65.5,,,,99.62707
1/31/1991,27.429090909090917,96.97,66.8,,,,99.72082
2/28/1991,21.59842105263158,96.99,70.4,,,,99.98038
3/31/1991,17.74421052631579,97.24,87.7,,,,100.3621
4/30/1991,17.37272727272727,97.7,81.8,,,,100.5038
5/31/1991,16.93227272727273,98.31,78.3,,,,100.4941
6/30/1991,17.134999999999998,99.03,82.1,,,,100.4483
7/31/1991,17.294090909090908,99.56,82.9,,,,100.3858
8/31/1991,15.681363636363637,99.94,82,,,,100.3409
9/30/1991,16.9565,100.06,83,,,,100.2836
10/31/1991,16.36391304347826,99.77,78.3,,,,100.0957
11/30/1991,17.773500000000002,99.27,69.1,,,,99.83002
12/31/1991,18.347619047619048,98.94,68.2,,,,99.63819
1/31/1992,17.68318181818182,99.07,67.5,,,,99.58098
2/29/1992,17.47736842105263,99.57,68.8,,,,99.677
3/31/1992,17.520454545454545,99.99,76,,,,99.8426
4/30/1992,16.562857142857144,100.17,77.2,,,,99.94007
5/31/1992,15.077000000000002,100.29,79.2,,,,99.9453
6/30/1992,15.203181818181816,100.21,80.4,,,,99.84528
7/31/1992,13.601818181818182,100.06,76.6,,,,99.64925
8/31/1992,14.421904761904765,99.81,76.1,,,,99.42836
9/30/1992,13.696666666666667,99.56,75.6,,,,99.23907
10/31/1992,17.63681818181818,99.6,73.3,,,,99.17685
11/30/1992,14.4245,99.92,85.3,,,,99.30806
12/31/1992,12.191363636363636,100.23,91,,,,99.4612
1/31/1993,12.409,100.4,89.3,,,,99.53164
